"","ABW","AFG","AGO","ALB","ARE","ARG","ARM","ATG","AUS","AUT","AZE","BDI","BEL","BEN","BFA","BGD","BGR","BHR","BHS","BIH","BLR","BLZ","BOL","BRA","BRB","BRN","BTN","BWA","CAF","CAN","CHE","CHI","CHL","CHN","CIV","CMR","COD","COG","COL","COM","CPV","CRI","CUB","CUW","CYP","CZE","DEU","DJI","DNK","DOM","DZA","ECU","EGY","ERI","ESH","ESP","EST","ETH","FIN","FJI","FRA","FSM","GAB","GBR","GEO","GHA","GIN","GLP","GMB","GNB","GNQ","GRC","GRD","GTM","GUF","GUM","GUY","HKG","HND","HRV","HTI","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JAM","JOR","JPN","KAZ","KEN","KGZ","KHM","KIR","KOR","KWT","LAO","LBN","LBR","LBY","LCA","LKA","LSO","LTU","LUX","LVA","MAC","MAR","MDA","MDG","MDV","MEX","MKD","MLI","MLT","MMR","MNE","MNG","MOZ","MRT","MTQ","MUS","MWI","MYS","MYT","NAM","NCL","NER","NGA","NIC","NLD","NOR","NPL","NZL","OMN","PAK","PAN","PER","PHL","PNG","POL","PRI","PRK","PRT","PRY","PSE","PYF","QAT","REU","ROU","RUS","RWA","SAU","SDN","SEN","SGP","SLB","SLE","SLV","SOM","SRB","SSD","STP","SUR","SVK","SVN","SWE","SWZ","SYC","SYR","TCD","TGO","THA","TJK","TKM","TLS","TON","TTO","TUN","TUR","TZA","UGA","UKR","URY","USA","UZB","VCT","VEN","VIR","VNM","VUT","WSM","YEM","ZAF","ZMB","ZWE"
"AZE",0,23,0,0,0,11,71844,0,101,156,0,0,3,0,0,0,390,0,0,0,3594,0,1,0,0,0,0,0,0,301,124,0,1,3,0,0,0,0,0,0,0,1,0,0,27,57,6711,0,33,0,0,1,5,0,0,540,443,0,108,0,151,0,0,283,5400,0,0,0,0,0,0,407,0,0,0,0,0,0,0,0,0,28,0,0,45,438,0,1,3601,54,0,0,7,6509,0,1857,0,0,26,0,0,0,0,2,0,0,0,163,0,1438,0,0,234,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,68,58,0,2,0,9,0,0,1,0,69,0,0,13,0,0,0,0,0,1,186172,0,0,0,0,0,0,0,0,0,1,0,0,0,19,1,54,0,0,0,0,0,0,63,1184,0,0,0,0,6153,0,0,29081,0,7065,7348,0,0,0,0,0,0,0,2,0,0
"BDI",0,0,1784,0,1,1,0,0,115,91,0,0,3477,0,0,0,10,0,0,0,0,0,2,4,0,0,0,135,1107,4408,741,0,2,0,0,0,14450,8584,1,3,0,2,0,0,23,4,1293,0,353,8,0,2,26,1544,0,601,0,39,35,0,2861,0,257,4071,0,24,0,4,0,0,2,247,0,0,4,0,0,1,0,0,0,11,0,0,97,0,0,1,17,798,0,0,3,0,1043,0,1,0,1,0,0,0,0,2,0,0,2,0,26,1,0,0,0,1,0,8,0,0,1,0,0,0,687,0,4,0,3007,0,1,531,3,0,0,2,863,120,0,1,0,0,0,1,10,0,4,0,0,169,0,0,3,0,4,0,182,108428,0,2,24,0,0,0,0,0,2,0,0,0,5,1,158,271,0,0,17,140,1,0,0,0,0,0,1,25,344056,2836,0,0,770,0,0,0,0,0,0,0,0,2876,6342,0
"BEL",5,8,665,437,143,465,7,6,1803,903,4,137,0,302,65,102,215,20,17,25,33,4,206,778,3,11,14,62,29,4873,2245,4,751,842,123,247,4739,483,408,0,59,128,62,0,122,194,13186,15,1105,580,2803,392,242,0,0,25353,12,263,299,2,40388,0,138,9209,33,370,498,67,21,11,1701,3970,0,602,59,1,10,55,73,38,223,874,250,755,709,316,14,56,2359,19129,38,53,673,397,52,17,1899,0,163,75,122,361,303,113,8,22,1,13,4173,26,1,28218,6,129,0,1523,269,30,69,6,1,2,17,82,40,368,4,247,1,57,15,165,365,21,17865,476,8,191,2,477,47,350,1734,10,1367,285,219,3445,23,34,7,18,19,310,270,192,53,18,158,209,0,168,32,163,70,0,4,25,355,63,901,0,6,173,25,469,766,1,0,0,0,12,1624,20435,42,34,80,49,16707,3,0,198,2,572,0,0,16,1348,32,12
"BEN",0,0,0,0,0,0,0,0,18,7,0,0,120,0,1111,0,5,0,0,0,0,0,0,0,0,0,0,0,0,170,106,0,1,0,7869,3,0,1311,0,0,0,0,0,0,1,6,267,0,12,0,0,0,3,0,0,51,0,0,0,0,1799,0,5308,113,0,2729,246,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,22,0,0,0,0,475,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,49,0,0,0,0,0,24,0,11118,34467,0,36,4,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,60,0,0,1,276,0,0,55,0,0,0,0,0,0,0,0,5,0,0,0,23,16898,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,12,0,0
"BFA",0,0,0,0,0,6,0,0,20,23,0,0,130,3510,0,0,2,0,1,0,0,0,0,0,0,0,0,0,13,438,189,0,6,0,336978,0,0,690,0,0,2,0,0,0,0,3,991,0,24,0,0,0,6,0,11,364,0,0,4,0,2716,0,2094,436,0,20993,1212,0,90,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,20,0,0,0,0,2602,0,0,13,0,0,0,0,0,0,0,0,0,686,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10021,0,0,0,0,0,7,0,0,0,0,0,11,0,11096,4049,0,161,6,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,216,0,0,1,260,0,0,85,0,0,0,0,0,0,0,1,17,0,0,0,1,5402,0,0,0,0,0,0,9,1,0,0,0,0,903,0,0,0,0,0,0,0,0,3,1,0
"BGD",10,0,0,13,104246,36,0,17,6387,511,0,0,533,0,0,0,147,12108,0,0,4,24,14,1021,4,780,8,19,1,18379,555,2,46,21950,0,0,0,0,29,0,3,56,0,0,175,113,1841,0,296,76,1,72,71,0,0,886,3,0,264,303,823,0,0,66759,3,0,3,0,0,0,0,630,0,0,5,0,10,12567,97,0,1,221,12628,690198,1212,0,0,27,73,10893,44,3758,9045,8,0,0,23557,0,10899,49383,7807,2250,43,311,7,56,0,0,8,15,1174,0,0,0,524,3217,0,0,5,29349,0,0,0,0,0,356,0,74521,0,7,1,0,0,1,504,1190,1275,1488,9129,7,79,6,928,0,15,1044,45,240,2,29,0,14145,0,2,106,0,60609,0,0,43636,0,0,1,0,0,0,0,17,68,3,1035,0,2,0,0,0,35367,0,0,69,0,50,0,180,0,62,1,0,99653,0,1,80,0,6555,0,2,0,455,0,1
"BGR",0,23,2,39,4,87,105,0,1435,3105,57,0,400,2,1,17,0,0,0,4,68,0,6,108,0,0,1,2,0,5767,1340,0,44,65,0,0,1,1,31,0,0,32,35,0,1587,1483,9880,0,383,234,13,44,12,0,0,2691,4,3,212,0,3211,0,1,3033,200,1,1,0,0,0,0,24071,0,0,0,0,0,15,0,158,0,428,1,19,759,22,31,54,6818,5836,0,16,11,46,0,6,25,0,12,4,0,34,1,8,0,0,0,9,53,14,2,3,122,0,0,244,367,0,179,0,1,2,1,0,0,0,0,8,0,6,0,1,5,14,822,437,0,3,0,20,45,23,2,0,664,0,0,423,0,2,0,1,0,2343,3673,0,4,2,0,4,0,0,0,0,349,0,0,0,1062,113,1287,0,0,67,0,1,1,5,9,0,0,0,4,101885,1,0,1059,1,25533,32,0,52,0,56,0,0,3,450,1,1
"BHR",0,24,0,0,415,3,0,0,239,3,0,0,7,0,0,11326,1,0,0,0,0,0,0,2,0,2,0,0,1,652,72,0,0,6,0,0,2,0,0,0,0,0,0,0,20,5,14,0,27,9,2,0,2793,46,0,81,0,42,1,0,31,0,0,2099,0,0,0,0,0,0,0,15,0,0,0,1,0,14,1,0,0,2,1083,9172,56,3,6,0,5,9,0,535,18,0,3,0,75,0,12,366,0,190,0,90,0,487,0,0,0,0,0,31,0,0,0,16,0,0,0,1,0,0,0,0,0,0,0,234,0,7,0,0,24,0,56,9,30,5,46,3029,0,0,8810,0,0,5,0,1,0,1076,0,56,0,0,1,0,118,450,0,13,0,0,0,37,0,173,0,0,1,0,12,0,0,223,19,0,54,0,0,0,0,0,20,169,0,7,1,0,194,0,0,1,0,9,0,0,686,21,0,0
"BHS",0,0,0,1,0,1,0,3,76,4,0,0,3,0,0,0,0,0,0,0,0,3,0,8,34,0,0,0,0,432,23,0,2,13,0,0,0,0,5,0,0,8,10,0,0,0,23,0,6,106,0,10,2,0,0,121,0,0,1,0,26,0,0,1037,0,5,0,2,0,0,0,10,14,1,4,0,48,14,5,0,1877,3,1,22,25,0,0,0,2,17,590,0,3,0,0,0,0,0,9,0,0,0,1,0,12,1,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,7,27,21,3,0,4,0,1,3,5,17,0,1,27,0,2,0,0,0,0,0,1,2,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,6,0,0,0,0,0,2,0,0,0,0,35,0,0,0,0,0,0,10223,0,2,4,0,1,0,0,0,9,0,0
"BIH",0,0,0,0,0,3,0,0,8631,23999,0,0,65,0,0,0,20,0,0,0,2,0,0,0,0,0,0,0,0,7296,5284,0,5,0,0,0,0,0,0,0,0,0,0,0,14,603,37636,0,5375,3,0,0,15,0,0,802,0,0,118,0,2124,0,0,2988,0,0,0,0,0,0,0,54,0,0,1,0,0,0,0,44411,0,129,0,0,436,0,0,8,1,10912,0,7,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,488,1,0,0,0,0,0,1,3047,0,48,0,472,0,0,0,0,0,0,0,0,0,0,0,0,0,222,4334,0,3,0,0,0,0,1,0,815,0,0,29,0,0,0,0,0,93,171,0,0,0,0,0,0,0,0,0,70805,0,0,0,959,11717,14057,0,0,0,0,0,0,0,0,0,0,0,0,304,0,0,1,0,47789,0,0,7,0,0,0,0,0,28,0,0
"BLR",0,24,0,1,2,87,658,0,238,138,1451,0,20,0,0,0,50,0,0,0,0,0,1,16,0,0,0,0,0,581,118,0,1,2,0,0,0,1,1,0,0,1,6,0,29,126,3905,0,43,0,5,1,24,0,0,69,2331,2,292,0,149,0,0,238,761,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,76,0,7,150,7,0,1,3640,249,0,2,3,12929,0,3176,0,0,7,0,0,5,0,55,0,0,0,7893,4,11811,0,0,1546,0,0,3,0,0,2,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,15,32,0,3,0,6,0,0,3,0,12449,0,10,32,0,1,0,0,0,25,194973,0,1,0,0,0,0,0,0,0,17,0,0,0,32,4,97,0,0,6,0,0,0,808,943,0,0,0,0,66,0,0,58590,3,6426,5554,0,1,0,36,0,0,2,18,0,0
"BLZ",0,0,0,0,0,1,0,1,13,2,0,0,1,0,0,0,0,0,1,0,0,0,85,0,0,0,0,0,0,192,6,0,0,99,0,0,0,0,0,0,0,11,0,0,0,0,5,0,1,0,0,0,0,0,0,20,0,0,0,0,1,0,0,139,0,0,0,0,0,0,0,0,0,1383,0,0,0,6,600,0,4,0,0,26,0,0,0,0,0,2,39,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4733,0,0,2,0,0,0,0,0,0,0,0
"BOL",0,0,2,1,2,66841,0,0,193,60,0,0,131,0,1,4,5,0,1,0,2,109,0,9897,0,0,0,1,0,990,603,0,3727,90,0,0,0,1,286,0,0,116,46,10,6,21,409,0,70,160,1,296,4,0,0,2485,0,0,25,0,244,0,0,637,0,0,1,0,0,0,0,13,0,25,0,0,0,44,150,3,1,29,2,14,23,3,0,4,22,909,0,2,188,29,1,1,1,0,87,1,1,6,1,1,0,0,0,0,1,0,4,1,0,0,0,1879,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,1,20,150,127,0,10,0,6,54,1898,395,0,26,53,8,33,621,0,0,2,0,3,71,0,3,0,0,9,0,0,13,0,0,0,0,0,24,1,446,0,0,1,2,0,3,0,0,0,0,1,0,5,0,0,6,51,24403,0,0,339,0,2,0,0,0,15,0,0
"BRA",1,0,967,3,7,7411,1,1,810,791,0,0,715,0,0,2344,41,1,9,0,39,1,3943,0,1,0,0,1,0,3166,3345,9,3313,19653,0,0,14,3,603,0,33,141,100,0,10,232,6393,0,351,255,1,288,393,0,0,14639,4,0,73,0,5597,0,1,2416,1,1,25,7,0,2,0,592,0,27,1004,0,342,4,132,12,16,573,1,77,1280,0,1,13,1115,9189,4,22,54714,14,0,2,0,0,3,3,0,1487,3,25,3,0,0,9,162,8,5,1,1,0,0,1093,0,0,7,0,0,0,90,14,15,0,0,1,0,93,1,0,0,56,1719,301,0,105,0,15,231,1304,2500,0,1213,51,521,36087,12825,7,0,2,1,438,1343,0,41,0,48,0,0,1,59,0,8,0,1,542,191,4,509,0,0,353,0,0,2,2,1,26,0,1,0,178,0,0,29,3858,65688,8,0,987,0,0,0,0,0,444,10,1
"BRB",1,0,0,0,0,1,0,74,45,1,0,0,2,0,0,0,0,0,17,0,0,0,0,1,0,0,0,0,0,1529,5,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,3,0,0,0,0,0,0,47,0,0,2,0,6,0,0,2275,0,0,0,1,0,0,0,1,98,0,5,0,254,0,0,0,0,1,0,52,9,0,0,0,0,5,199,0,0,0,0,0,0,0,0,0,0,0,0,0,580,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,16,5,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,399,0,0,0,0,0,0,10350,0,379,11,45,0,0,0,0,2,0,0
"BRN",0,0,0,0,3,0,0,0,366,1,0,0,1,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,480,4,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,6,0,0,43,0,0,0,0,5,0,0,1365,0,0,0,0,0,0,0,0,0,0,0,1,0,70,0,0,0,0,588,5921,21,0,0,0,0,3,0,3,35,0,0,0,6,0,20,2,0,0,0,1,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6824,0,0,0,0,0,0,170,4,398,21,0,63,0,0,1709,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,2608,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1483,3,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,1,0,0,0,2,0,0
"BTN",0,0,0,0,3,0,0,0,60,6,0,0,53,0,0,4,7,0,0,0,0,0,0,1,0,0,0,0,0,42,17,0,2,78,0,0,0,0,0,0,0,2,0,0,0,0,3,0,7,7,0,0,0,0,0,1,0,0,0,0,95,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,1,0,4480,6,0,0,0,0,19,0,0,18,0,0,0,11,0,11,2,0,0,0,0,0,25,0,0,0,0,3,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,11,11381,4,1,9,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,1,0,0,0,1,0,0
"BWA",0,0,103,0,0,0,0,1,187,2,0,0,6,0,0,4,2,0,0,0,0,0,0,4,1,0,0,0,0,58,8,2,1,124,0,0,72,0,1,0,0,2,0,0,6,1,31,0,21,2,0,2,0,0,0,57,0,0,1,0,31,0,0,435,0,0,0,0,0,0,0,1,0,0,0,0,0,8,3,0,0,3,0,229,37,0,0,0,5,16,2,0,4,0,14,0,1,0,10,0,0,0,2,0,1,35,84,0,1,0,0,0,0,16,0,97,0,0,2,0,0,0,24,0,0,42,80,3,0,139,0,0,18,0,44,23,0,15,0,17,1,0,28,0,0,30,0,17,0,0,0,0,0,0,22,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,20,22,4,0,0,0,3,0,0,0,0,2,0,5,52,29,0,0,180,0,0,0,0,3,0,0,0,3453,274,737
"CAF",0,0,3,0,8,0,0,0,7,6,0,1,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,52,45,0,0,0,2,20,2119,2044,0,0,0,1,0,0,2,0,5,0,1,1,0,0,14,0,0,50,0,2,0,0,2839,0,2,56,0,0,0,1,0,0,0,14,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,1,17,0,0,0,0,7,0,0,0,0,4,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,0,10,0,0,5,1,0,0,0,0,0,1,0,0,6,0,0,1,2,2,0,42,5,25,4429,1,0,0,0,0,0,0,0,11,0,0,4,4,0,0,0,2785,34,0,0,0,0,0,0,0,2,4,42,1,0,110,0,0,0,0,0,0,0,3,23,3,0
