"","ABW","AFG","AGO","ALB","ARE","ARG","ARM","ATG","AUS","AUT","AZE","BDI","BEL","BEN","BFA","BGD","BGR","BHR","BHS","BIH","BLR","BLZ","BOL","BRA","BRB","BRN","BTN","BWA","CAF","CAN","CHE","CHI","CHL","CHN","CIV","CMR","COD","COG","COL","COM","CPV","CRI","CUB","CUW","CYP","CZE","DEU","DJI","DNK","DOM","DZA","ECU","EGY","ERI","ESH","ESP","EST","ETH","FIN","FJI","FRA","FSM","GAB","GBR","GEO","GHA","GIN","GLP","GMB","GNB","GNQ","GRC","GRD","GTM","GUF","GUM","GUY","HKG","HND","HRV","HTI","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JAM","JOR","JPN","KAZ","KEN","KGZ","KHM","KIR","KOR","KWT","LAO","LBN","LBR","LBY","LCA","LKA","LSO","LTU","LUX","LVA","MAC","MAR","MDA","MDG","MDV","MEX","MKD","MLI","MLT","MMR","MNE","MNG","MOZ","MRT","MTQ","MUS","MWI","MYS","MYT","NAM","NCL","NER","NGA","NIC","NLD","NOR","NPL","NZL","OMN","PAK","PAN","PER","PHL","PNG","POL","PRI","PRK","PRT","PRY","PSE","PYF","QAT","REU","ROU","RUS","RWA","SAU","SDN","SEN","SGP","SLB","SLE","SLV","SOM","SRB","SSD","STP","SUR","SVK","SVN","SWE","SWZ","SYC","SYR","TCD","TGO","THA","TJK","TKM","TLS","TON","TTO","TUN","TUR","TZA","UGA","UKR","URY","USA","UZB","VCT","VEN","VIR","VNM","VUT","WSM","YEM","ZAF","ZMB","ZWE"
"AZE",0,17,0,0,0,3,23179,0,68,126,0,0,27,0,0,0,192,0,0,0,1684,0,0,0,0,0,0,0,0,399,82,0,12,0,0,0,0,0,0,0,0,0,0,0,31,135,1828,0,34,0,0,0,3,0,0,113,234,0,21,0,502,0,0,203,5821,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,23,0,0,5,1246,0,1,1322,102,0,0,0,6189,0,834,0,0,2,0,0,0,0,1,0,0,0,90,0,214,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,53,0,0,0,1,0,0,1,0,40,0,0,9,0,0,0,0,0,5,95804,0,0,0,0,0,0,0,0,0,1,0,0,0,5,2,289,0,0,0,0,0,0,56,1103,0,0,0,0,1844,0,0,10323,0,2542,4530,0,0,0,0,0,0,0,0,0,0
"BDI",0,0,26,0,0,0,0,0,1235,57,0,0,3596,0,0,0,8,0,0,0,0,0,0,13,0,0,0,0,5,5522,294,0,2,0,0,1,25268,66,0,0,0,0,0,0,2,5,364,0,289,1,0,0,4,397,0,45,0,90,40,0,973,0,90,1958,0,0,33,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,609,0,0,0,0,4043,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,579,0,0,0,3458,0,0,180,0,0,0,0,668,507,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,107,86043,0,2,0,0,0,0,0,0,0,24,0,0,0,1,1420,132,0,0,0,1,0,0,0,0,0,0,0,0,35295,14117,0,0,13,0,0,0,0,0,0,0,0,6728,4177,0
"BEL",5,444,615,544,52,362,103,0,1995,2045,25,679,0,98,88,194,2895,10,13,22,85,0,181,1872,2,1,20,4,36,5237,6996,8,1410,1922,365,930,7903,466,617,0,59,66,161,38,122,638,33569,79,1162,365,2743,811,444,2,0,12633,236,301,679,2,52784,0,246,11604,45,682,400,69,43,18,25,2528,0,96,33,0,7,10,39,99,223,1756,380,1711,535,1030,721,62,2005,44042,31,262,894,126,117,35,149,0,520,30,109,656,72,135,2,116,2,131,9817,126,1,20316,138,238,8,342,67,64,192,16,4,60,45,105,27,382,10,72,4,52,17,111,423,30,27607,920,128,88,9,1023,90,353,980,80,7433,3,9,4271,39,24,7,11,42,4560,2089,1209,101,70,292,58,0,141,46,169,70,13,4,107,564,65,1500,0,20,474,44,396,834,7,7,0,0,0,1375,12403,58,86,140,167,9378,99,0,213,0,897,0,0,16,7226,53,37
"BEN",0,0,0,0,1,0,0,0,60,46,0,0,860,0,1667,0,10,0,0,0,0,0,0,16,0,0,0,0,0,1964,359,0,2,0,10388,596,1,6497,0,0,0,0,0,0,3,27,1051,0,17,1,0,0,4,0,0,125,0,0,20,0,9370,0,25157,264,0,8117,44,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,1,2,1404,0,0,1,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,4,2,0,2,0,1,0,0,0,549,0,0,0,0,0,59,0,0,1,0,0,66,2,9612,103017,0,131,18,0,0,0,0,0,0,0,0,1,0,0,24,0,0,0,0,15,1,71,0,0,2,411,0,0,54,0,0,0,0,0,0,0,2,43,0,0,0,103,30645,0,0,0,0,0,0,1,0,2,0,0,0,38,0,0,0,0,0,0,0,0,188,1,0
"BFA",0,0,0,0,1,5,0,0,110,117,0,0,1246,5936,0,0,8,0,1,0,0,0,0,22,0,0,0,0,0,2424,511,0,3,0,312033,16,0,44,0,0,0,0,0,0,1,21,1396,0,112,0,0,0,17,0,0,633,0,0,43,0,6137,0,4786,1133,0,36465,114,0,8,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,1,0,9493,0,0,16,0,0,0,0,0,0,1,0,0,271,2,0,0,1,0,0,0,0,0,0,0,0,0,0,21697,2,0,0,0,0,36,0,0,0,0,0,43,0,5508,1903,0,339,42,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,430,0,0,0,456,0,0,8,0,0,0,0,0,0,0,3,85,0,0,0,0,8858,0,0,0,0,0,0,3,1,0,0,0,0,1809,0,0,0,0,0,0,0,0,146,2,0
"BGD",4,0,0,4,362883,73,0,18,37271,2272,0,0,2215,0,0,0,415,26028,54,0,12,37,83,2881,10,408,6,0,0,51118,2853,94,329,27796,0,0,0,3,41,0,3,3,0,7,524,472,8012,0,1870,76,25,215,53,0,0,4746,93,0,2203,537,8564,0,6,100721,2,4,3,0,0,0,0,4861,0,59,92,1,25,4212,72,9,13,410,20515,988307,1619,0,0,44,320,83902,12,2442,15116,29,0,3,2471,0,11859,152526,10047,1718,0,402,5,144,1,93,90,62,900,13,0,14,39845,148,0,0,114,30792,2,129,0,0,0,5193,0,134109,0,41,1,0,0,0,2219,3083,2842,1925,173018,27,178,231,70,953,242,4,265,1975,1,1018,0,83450,0,255,1418,0,484377,0,0,36969,0,0,11,0,13,0,0,126,139,19,5004,0,146,0,0,0,26051,4,0,8,0,2,3,252,0,14,159,132,186914,0,2,1,116,8072,0,0,0,3661,14,1
"BGR",1,29,1,93,8,44,153,0,515,3780,284,1,10883,3,1,56,0,1,5,9,131,0,5,68,0,0,2,2,0,3244,2455,0,63,98,1,1,1,1,12,0,1,8,32,0,1048,3989,21875,0,2341,12,44,45,21,0,0,13671,187,6,893,0,8108,0,1,6118,103,1,3,0,1,0,0,8561,0,1,0,0,0,0,0,53,1,230,3,17,208,31,87,101,2623,12580,1,35,14,225,1,14,1,0,7,8,0,77,0,19,0,1,0,20,247,37,0,8,266,0,2,30,460,0,406,0,21,12,3,0,0,0,0,1,0,5,0,0,7,9,4923,2671,0,4,1,6,13,8,4,7,415,0,4,1248,0,1,0,2,0,1769,5746,0,11,4,1,1,0,0,1,0,415,0,0,0,715,584,2090,0,0,123,1,0,1,19,36,0,0,0,9,54175,1,0,1482,2,12673,113,0,17,0,65,0,0,5,1886,1,2
"BHR",0,1557,0,0,1380,3,9,1,1093,83,1,0,81,0,0,12241,26,0,2,0,1,1,0,18,1,1,1,0,1,1609,123,10,7,52,0,0,14,0,1,0,0,0,0,1,60,16,580,9,81,7,15,4,9361,165,0,74,3,317,32,0,417,0,0,3036,0,0,2,0,0,0,0,35,0,1,0,2,0,95,1,0,0,15,3091,33105,52,9,149,1,88,564,1,10062,106,22,13,0,0,0,61,1216,0,1118,0,177,0,1028,0,2,5,3,2,86,0,0,5,2,4,2,11,1,0,0,1,0,0,1,0,302,0,16,0,0,136,0,196,76,171,69,1030,9718,2,1,5221,81,11,0,2,13,0,4479,0,599,0,9,16,0,2887,1236,0,113,0,0,0,131,0,1563,0,1,5,1,162,0,0,821,212,0,124,1,0,0,0,0,60,1661,0,55,5,0,1611,0,0,1,2,7,0,0,2073,190,1,0
"BHS",1,0,0,0,1,11,0,3,49,10,0,0,7,0,0,0,2,0,0,0,1,4,0,18,27,0,0,1,0,502,65,0,15,19,0,0,0,0,19,0,0,7,41,15,0,0,37,0,8,171,0,17,4,0,0,22,2,0,3,0,46,0,0,614,0,5,9,4,0,0,0,12,6,4,6,0,92,3,5,0,2903,1,3,59,9,0,0,2,1,212,663,0,5,3,2,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,14,9,13,9,0,3,0,0,6,26,107,0,2,1,0,2,0,0,0,0,0,9,14,0,1,0,0,0,0,0,6,0,0,0,0,2,0,0,8,1,0,0,0,0,0,0,0,0,0,34,0,1,0,1,5,2,7588,0,3,5,1,0,0,0,0,12,0,1
"BIH",0,0,0,0,0,1,1,0,3374,54684,0,0,298,0,0,0,42,0,0,0,4,0,2,25,0,0,0,0,0,7521,15563,0,13,0,0,0,0,0,0,0,0,0,0,0,17,1243,60500,0,4245,0,0,0,4,0,0,216,7,0,248,0,3331,0,0,2338,0,0,2,0,0,0,0,61,0,0,0,0,0,0,0,79801,0,115,0,0,58,0,0,30,0,4611,0,7,0,18,0,0,0,0,0,0,0,0,0,26,0,0,0,0,1114,3,0,0,0,0,0,0,3170,0,110,0,7160,0,0,0,0,0,0,0,0,0,0,0,0,0,183,2354,0,3,0,0,0,0,0,0,814,0,0,17,0,0,0,0,0,62,348,0,0,0,0,0,0,0,0,0,71291,0,0,0,636,27285,10003,0,0,0,0,0,0,0,0,0,0,0,0,390,0,0,19,0,21026,1,0,2,0,0,0,0,0,158,0,0
"BLR",0,24,0,0,2,38,581,0,223,187,1582,0,54,0,0,0,99,0,0,0,0,0,1,12,0,0,0,0,0,1078,166,0,5,2,0,0,0,1,1,0,0,1,4,0,47,509,3226,0,101,0,5,1,20,0,0,446,1640,2,253,0,371,0,0,456,940,0,0,0,0,0,0,214,0,0,0,0,0,0,0,10,0,79,0,6,91,9,0,5,2326,3312,0,4,4,15824,0,1718,0,0,7,0,0,6,0,62,0,0,0,4546,5,6009,0,0,1065,0,0,1,0,1,2,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,61,136,0,4,0,5,1,0,0,0,7429,0,6,123,0,0,0,0,0,33,166664,0,1,0,0,0,0,0,0,0,18,0,0,0,32,16,319,0,0,7,0,0,0,808,902,0,0,0,0,52,0,0,53274,3,5817,5311,0,1,0,32,0,0,3,38,0,0
"BLZ",0,0,0,0,0,1,0,3,20,10,0,0,0,0,0,0,0,0,8,0,0,0,103,2,3,0,0,0,0,523,6,0,2,210,0,0,0,0,0,0,0,16,0,0,0,0,9,0,1,0,0,0,0,0,0,15,0,0,0,0,2,0,0,310,0,0,1,0,0,0,0,1,0,2659,0,0,0,6,1025,0,5,2,0,55,0,0,0,0,0,33,38,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7425,0,0,2,0,0,0,0,0,0,0,0
"BOL",1,0,1,0,0,83546,1,0,306,192,0,0,380,0,0,3,8,0,0,1,6,87,0,15850,0,0,0,0,6,1251,1416,0,21798,128,0,1,1,1,469,0,11,71,187,15,3,41,1890,0,142,52,0,574,2,0,0,20011,3,0,52,0,947,0,0,887,0,1,4,0,0,0,0,7,0,62,0,0,0,1,87,11,2,14,1,11,10,7,3,5,26,5365,1,10,199,29,1,1,0,0,55,0,0,7,0,1,0,0,0,1,4,0,0,3,2,1,0,1136,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,18,288,178,0,7,0,2,130,6186,9,3,37,12,1,94,547,1,0,0,0,18,155,0,2,0,1,0,0,0,21,0,3,0,0,0,5,1,1255,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,40,69,18814,3,0,309,0,1,0,0,0,108,0,0
"BRA",1,6,822,1,24,10991,11,3,8140,1658,1,2,3703,3,3,1632,78,5,33,6,56,2,8475,0,4,13,0,1,1,14809,10041,21,5417,17567,30,14,16,12,1131,0,182,117,240,2,15,261,16797,0,867,151,23,866,396,0,0,16610,71,1,522,0,13439,0,6,9248,8,9,9,10,1,94,55,498,2,103,4231,0,644,7,100,94,8,1085,87,101,1288,63,102,93,1969,25857,13,446,29340,88,4,0,3,6,1050,8,1,1503,4,43,17,1,0,75,239,21,3,59,2,5,7,1885,4,2,47,1,3,0,168,16,10,0,1,14,0,106,1,1,115,52,4067,1581,3,1005,4,30,470,2352,60,2,477,15,612,49592,13267,9,0,5,2,202,598,1,90,0,88,14,0,1,58,0,73,0,7,2037,77,65,1793,0,3,220,0,1,54,1,3,11,0,20,10,216,8,5,181,7976,53847,9,2,1116,8,16,0,0,0,1693,1,9
"BRB",1,0,0,0,0,1,0,90,50,5,0,0,2,0,0,0,0,0,54,0,0,2,0,8,0,0,0,0,0,1541,18,0,3,5,0,0,0,0,0,0,0,1,6,36,0,4,1,0,5,1,0,0,0,0,0,9,0,0,1,0,21,0,0,4592,0,0,12,1,0,0,0,1,55,0,4,0,517,0,0,0,4,0,0,48,3,0,0,0,0,84,133,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,21,4,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,14,0,0,11,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,5940,0,259,7,119,0,0,0,0,15,0,0
"BRN",0,28,0,0,44,0,0,0,1153,18,0,0,20,0,0,181,4,6,1,0,0,0,0,91,0,0,0,0,0,2458,81,4,4,369,0,0,0,0,0,0,0,0,0,1,6,5,133,0,26,1,0,1,7,0,0,26,1,0,20,0,54,0,0,2643,0,0,0,0,0,0,0,4,0,0,0,1,0,131,0,0,0,5,819,5037,18,0,0,2,4,94,0,10,174,2,0,0,1,0,119,53,4,1,0,2,0,136,0,1,3,1,19,0,0,0,2,1,0,0,6,0,0,1,0,0,0,0,0,6810,0,0,0,0,0,0,344,48,417,73,57,108,2,2,1696,35,4,0,3,5,0,0,0,59,0,2,8,0,291,0,0,461,0,0,0,0,0,0,0,2,2,1,54,0,1,0,0,0,1856,14,0,0,0,0,0,2,0,0,1,0,775,0,0,0,0,8,0,0,0,41,0,0
"BTN",1,3,0,0,1195,0,0,0,1989,43,0,0,96,0,0,8,7,253,2,0,0,2,0,15,1,0,0,0,0,2514,90,0,9,186,0,0,0,0,1,0,0,1,0,2,5,11,203,0,139,2,0,3,0,0,0,32,3,0,22,1,121,0,0,1238,0,1,0,0,0,0,0,12,0,1,0,0,0,58,1,0,0,6,12,8406,14,0,1,1,33,403,1,3,157,2,0,0,0,0,83,1658,2,2,0,0,0,37,0,0,3,1,11,1,0,3,54,9,0,0,3,5,0,2,2,0,0,17,0,20,0,1,0,0,0,0,118,103,3447,152,3008,15,10,7,7,5,3,0,3,23,0,0,0,1459,3,3,32,0,2253,0,0,130,0,3,0,0,1,0,0,1,2,1,66,0,13,0,0,0,24,2,0,0,0,1,0,1,0,0,15,0,5545,0,0,0,1,4,0,0,0,53,9,0
"BWA",2,52,439,0,101,1,0,1,2164,85,0,21,128,7,0,0,39,20,16,0,2,2,1,34,1,0,0,0,1,4344,224,9,36,751,0,18,148,5,2,0,0,0,0,5,39,128,631,0,186,4,0,11,0,1,0,73,6,1,53,0,208,0,7,3304,0,10,67,0,0,0,0,28,0,3,0,0,1,135,3,2,1,28,5,802,163,0,0,7,64,601,1,10,152,1,156,0,0,0,194,139,5,1,1,0,0,120,130,7,35,4,39,1,3,95,6,5,0,0,19,0,1,5,232,0,0,43,212,7,0,712,0,25,158,0,374,249,0,335,255,68,8,10,0,31,20,0,6,250,0,2,0,126,238,31,97,19,237,1,0,20,0,1,0,0,2,13,0,8,12,4,218,92,6,0,1,4,1,1,0,0,0,0,1,11,115,51,6,3,2215,1,0,0,4,1,0,0,0,62399,1560,7261
"CAF",0,0,5,0,11,2,1,0,53,30,0,6,282,1,0,0,6,2,1,0,4,0,19,14,0,0,0,0,0,1160,269,0,13,1,1,135002,246388,10257,1,0,1,1,0,0,7,6,150,0,11,49,0,4,14,0,0,59,2,3,5,0,7122,0,27,152,0,0,16,1,0,0,26,100,0,1,3,0,0,1,1,1,1,6,0,0,2,0,0,1,23,220,0,1,12,21,1,0,0,0,5,11,0,0,0,1,0,0,0,0,47,0,0,30,0,8,0,4,0,132,2,0,1,0,0,0,1,1,0,0,4,0,25,0,15,0,36,9,0,4,6,0,1,0,0,1,15,0,0,103,0,0,0,3,221,18,112,8,29,4062,561,0,0,0,0,0,3,571,9,0,5,42,61,0,0,0,25517,83,0,0,0,0,0,0,9,5,2,12,21,1,147,1,0,0,1,0,1,0,2,130,1,0
