"","ABW","AFG","AGO","ALB","ARE","ARG","ARM","ATG","AUS","AUT","AZE","BDI","BEL","BEN","BFA","BGD","BGR","BHR","BHS","BIH","BLR","BLZ","BOL","BRA","BRB","BRN","BTN","BWA","CAF","CAN","CHE","CHI","CHL","CHN","CIV","CMR","COD","COG","COL","COM","CPV","CRI","CUB","CUW","CYP","CZE","DEU","DJI","DNK","DOM","DZA","ECU","EGY","ERI","ESH","ESP","EST","ETH","FIN","FJI","FRA","FSM","GAB","GBR","GEO","GHA","GIN","GLP","GMB","GNB","GNQ","GRC","GRD","GTM","GUF","GUM","GUY","HKG","HND","HRV","HTI","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JAM","JOR","JPN","KAZ","KEN","KGZ","KHM","KIR","KOR","KWT","LAO","LBN","LBR","LBY","LCA","LKA","LSO","LTU","LUX","LVA","MAC","MAR","MDA","MDG","MDV","MEX","MKD","MLI","MLT","MMR","MNE","MNG","MOZ","MRT","MTQ","MUS","MWI","MYS","MYT","NAM","NCL","NER","NGA","NIC","NLD","NOR","NPL","NZL","OMN","PAK","PAN","PER","PHL","PNG","POL","PRI","PRK","PRT","PRY","PSE","PYF","QAT","REU","ROU","RUS","RWA","SAU","SDN","SEN","SGP","SLB","SLE","SLV","SOM","SRB","SSD","STP","SUR","SVK","SVN","SWE","SWZ","SYC","SYR","TCD","TGO","THA","TJK","TKM","TLS","TON","TTO","TUN","TUR","TZA","UGA","UKR","URY","USA","UZB","VCT","VEN","VIR","VNM","VUT","WSM","YEM","ZAF","ZMB","ZWE"
"AZE",0,16,0,0,0,3,35828,0,46,106,0,0,98,0,0,0,215,0,0,0,1790,0,0,6,0,0,0,0,0,298,47,0,9,0,0,0,0,2,0,0,0,0,0,0,44,430,1669,0,30,0,0,0,4,0,0,121,267,0,28,0,454,0,0,171,6090,0,0,0,0,0,0,218,0,0,0,0,0,0,0,1,0,16,0,0,6,1286,0,1,1412,95,0,0,0,7002,0,1037,0,0,3,0,0,0,0,1,0,0,0,116,0,280,0,0,145,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,59,40,0,0,0,1,0,0,1,0,167,0,0,18,0,0,0,0,0,3,124752,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,310,0,0,0,0,0,0,61,1144,0,0,0,0,1837,0,0,10961,0,2002,5134,0,0,0,0,0,0,0,3,0,0
"BDI",0,0,2312,0,3,0,0,0,617,40,0,0,3746,0,0,0,5,0,0,0,0,0,1,16,0,0,0,0,5,1992,311,0,4,0,0,1,48190,3276,1,0,0,0,0,1,27,7,234,0,152,1,0,1,10,152,0,125,2,90,89,0,2461,0,128,1061,0,10,0,0,0,0,2,24,0,0,0,0,0,0,0,1,0,5,0,0,17,0,0,1,19,454,0,0,0,0,1616,0,0,0,0,0,0,0,0,0,0,0,0,1,21,1,0,4,0,0,0,4,0,204,0,0,0,0,432,5,0,0,1144,0,0,270,0,0,0,0,535,223,0,0,0,0,1,0,3,0,18,0,0,22,0,0,0,0,0,3,33,18740,0,5,0,0,0,0,0,0,0,9727,0,0,2,1,592,89,0,0,0,1,0,0,0,0,0,0,1,6,19070,3396,0,0,638,0,0,0,0,0,0,0,0,2946,1017,0
"BEL",4,219,767,269,87,325,42,0,1740,1161,16,374,0,69,65,140,728,11,22,19,53,0,201,1327,4,1,16,5,27,3674,5075,7,1008,1373,222,442,7347,621,666,0,53,86,127,93,158,282,18553,37,854,224,1935,534,357,1,0,14467,170,204,635,2,35123,0,189,8983,22,608,172,62,31,17,18,2110,0,65,24,0,8,8,22,131,171,1071,249,1151,886,458,207,60,4197,31932,28,151,602,792,85,47,108,0,209,21,95,379,59,111,2,47,1,188,5770,122,1,19057,19,166,0,290,54,78,70,7,17,28,42,78,25,395,8,59,3,111,11,47,292,26,19658,584,66,73,4,728,121,234,934,142,6258,4,134,3374,31,13,6,22,25,1946,801,946,57,24,223,60,0,117,41,154,37,15,5,39,281,120,1148,0,14,302,24,204,425,6,1,0,0,1,1084,13461,48,57,88,53,6817,32,0,190,0,700,0,0,14,4473,71,29
"BEN",0,0,0,0,1,0,0,0,70,39,0,0,624,0,1756,0,24,0,0,0,0,0,1,24,0,0,0,0,0,1110,313,0,1,0,11254,247,0,8089,0,0,0,0,0,0,7,43,1143,0,33,0,0,0,17,0,0,273,0,0,4,0,9116,0,20478,254,0,8729,107,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0,0,16,0,0,0,0,1387,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,166,0,0,0,0,0,129,0,11889,83288,0,115,15,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,33,0,0,1,739,0,0,21,0,0,0,0,0,0,0,0,67,0,0,0,49,37431,0,0,0,0,0,0,0,0,2,0,0,0,20,0,0,0,0,0,0,0,0,145,1,0
"BFA",0,0,0,0,0,2,0,0,123,88,0,0,737,5068,0,0,10,0,0,0,0,0,1,30,0,0,0,0,0,906,443,0,2,0,329946,4,0,14,0,0,0,0,0,0,3,20,783,0,69,0,0,1,37,0,0,1371,1,0,46,0,5276,0,3183,2457,0,25643,164,0,8,0,0,56,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,2,0,6955,0,1,0,0,0,0,0,0,0,0,0,0,227,2,0,0,2,0,0,0,0,0,0,0,0,0,0,30935,3,0,0,0,0,7,0,0,0,0,0,69,0,7874,724,0,260,37,0,0,0,0,0,0,2,0,1,0,0,6,0,0,0,0,0,0,435,0,0,0,424,0,0,20,0,0,0,0,0,0,0,5,91,0,0,0,0,6313,0,0,0,0,0,0,2,1,0,0,0,0,1533,0,0,0,0,0,0,0,0,222,0,0
"BGD",6,0,0,0,721889,65,0,13,39257,2018,0,0,1968,0,0,0,659,64802,73,0,17,41,280,3042,0,542,7,97,0,42699,2422,87,148,25248,0,0,0,10,163,0,5,63,0,22,1399,661,6892,0,1431,153,8,190,311,0,0,19441,89,0,2011,923,5745,0,3,185507,2,2,0,0,0,0,0,6537,0,46,8,0,21,4835,28,33,7,351,16923,1373846,5788,0,0,93,1066,70456,9,24946,10645,24,0,3,1921,0,10101,168432,8164,2261,0,626,10,677,2,265,68,87,586,4,0,7,19229,5890,0,188,27,21577,9,116,1,0,0,6800,0,300295,0,126,1,0,0,0,1409,2760,2970,2772,71394,25,204,1,540,93,1645,8,280,3048,24,1140,0,150326,0,91,1528,0,362094,0,0,101080,0,2,12,0,2,3,0,30,98,37,6460,1,181,0,0,2,3063,7,0,9,1,53,4,421,0,31,127,0,140948,0,0,29,0,7640,0,0,0,3053,18,1
"BGR",0,21,2,60,5,40,173,0,408,1750,187,1,7605,2,1,34,0,1,8,7,92,0,7,36,0,0,1,3,0,3840,741,0,32,69,0,1,1,2,18,0,1,10,24,0,2048,3299,24011,0,880,9,26,32,18,0,0,46195,79,5,447,0,2174,0,1,3258,67,1,1,0,1,0,0,7609,0,1,0,0,0,0,0,40,0,490,2,15,366,22,52,51,2840,15188,0,45,10,169,1,11,1,0,4,7,0,46,0,15,0,1,0,45,251,310,0,6,211,0,0,29,288,0,291,0,48,12,2,0,0,0,0,0,0,10,0,0,5,8,7643,713,0,3,0,5,7,6,3,2,592,0,2,1900,0,1,0,1,0,5230,5004,0,7,2,1,1,0,0,0,0,284,0,0,0,416,273,2071,0,0,93,0,0,1,14,26,0,0,0,6,52328,1,0,1297,1,10026,85,0,16,0,47,0,0,4,1389,1,2
"BHR",0,42,0,0,788,2,0,0,204,6,0,0,11,0,0,7731,1,0,0,0,0,0,0,5,0,1,1,0,1,320,43,0,1,3,0,0,0,0,0,0,0,0,0,0,17,3,24,1,14,3,3,0,5814,72,0,15,0,94,3,0,127,0,0,924,0,0,0,0,0,0,0,8,0,0,0,1,0,6,0,0,0,2,1622,19936,13,5,6,0,6,35,0,1331,10,0,4,0,0,0,3,512,0,279,0,125,0,707,0,0,0,0,1,56,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,30,0,8,0,0,75,0,43,6,111,4,73,5809,0,0,3019,0,1,0,0,1,0,1370,0,151,0,1,1,0,283,784,0,12,0,0,0,70,0,1495,0,0,0,0,16,0,0,359,28,0,50,0,0,0,0,0,38,284,0,4,2,0,298,0,0,1,0,0,0,0,1270,22,0,0
"BHS",1,0,0,0,2,7,0,3,47,6,0,0,5,0,0,0,2,0,0,0,0,3,0,13,21,0,0,1,0,398,40,0,3,14,0,0,0,0,13,0,0,6,25,10,0,0,34,0,5,113,0,7,4,0,0,20,1,0,1,0,42,0,0,457,0,9,0,4,0,0,0,9,5,3,5,0,71,3,3,0,2484,1,2,41,14,0,0,1,1,25,549,0,5,0,1,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,12,9,12,3,0,3,0,1,4,11,60,0,3,1,0,2,0,0,0,0,0,7,10,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,9,1,0,0,0,0,0,0,0,0,0,34,0,0,0,0,1,1,4407,0,2,5,1,0,0,0,0,14,0,1
"BIH",0,0,0,0,0,1,0,0,3757,18689,0,0,61,0,0,0,36,0,0,0,0,0,4,50,0,0,0,0,0,6223,9308,0,13,0,0,0,0,0,1,0,0,0,0,0,27,1052,23945,0,1926,0,0,1,7,0,0,457,3,0,210,0,1941,0,0,1129,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,37516,0,300,0,0,126,0,0,54,0,1010,0,31,0,1,0,0,0,0,0,0,0,0,0,24,0,0,0,1,214,3,0,0,0,0,0,1,1426,29,17,0,14947,0,0,0,0,0,0,0,0,0,0,0,0,0,156,1252,0,8,0,0,1,0,0,0,890,0,0,6,0,0,0,0,0,51,236,0,0,0,0,0,0,0,0,0,30855,0,0,0,580,21117,5717,0,0,0,0,0,0,0,0,0,0,0,0,306,0,0,1,0,13873,0,0,2,0,0,0,0,0,90,0,0
"BLR",0,21,0,0,2,38,613,0,187,153,1512,0,41,0,0,0,77,0,0,0,0,0,1,12,0,0,0,0,0,1019,108,0,3,1,0,0,0,2,1,0,0,1,4,0,45,546,2891,0,85,0,5,1,26,0,0,402,1818,2,239,0,320,0,0,406,879,0,0,0,0,0,0,192,0,0,0,0,0,0,0,9,0,72,0,6,96,8,0,5,2445,2928,0,4,4,15255,0,2030,0,0,7,0,0,5,0,57,0,0,0,5810,3,6798,0,0,1188,0,0,1,0,1,3,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,38,81,0,3,0,5,1,0,0,0,8160,0,6,110,0,1,0,0,0,26,171735,0,1,0,0,0,0,0,0,0,16,0,0,0,25,11,237,0,0,7,0,0,0,806,914,0,0,0,0,49,0,0,54101,2,5265,5636,0,1,0,29,0,0,3,24,0,0
"BLZ",0,0,0,0,0,1,0,1,9,4,0,0,0,0,0,0,0,0,4,0,0,0,85,1,2,0,0,0,0,253,7,0,1,150,0,0,0,0,0,0,0,14,0,0,0,0,7,0,1,0,0,0,0,0,0,8,0,0,0,0,2,0,0,170,0,0,0,0,0,0,0,1,0,2186,0,0,0,5,826,0,4,0,0,30,0,0,0,0,0,5,37,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5505,0,0,2,0,0,0,0,0,0,0,0
"BOL",1,0,2,0,1,42883,0,0,124,68,0,0,148,0,0,2,9,0,0,0,2,83,0,14837,0,0,0,0,2,1017,539,0,5423,80,0,1,0,1,384,0,5,56,100,10,4,49,1507,0,137,23,1,338,3,0,0,106245,2,0,73,0,683,0,0,365,0,1,0,0,0,0,0,4,0,34,0,0,0,1,37,17,1,16,1,10,9,4,1,2,51,4513,0,2,162,5,1,0,0,0,49,0,1,4,0,1,0,0,0,1,2,0,0,1,1,1,0,1141,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,15,161,67,0,6,0,2,74,1174,7,1,45,10,1,89,502,2,0,1,0,4,43,0,1,0,0,1,0,0,15,0,1,0,0,0,2,1,914,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,29,48,9798,2,0,267,0,1,0,0,0,66,0,1
"BRA",1,2,3059,2,23,8540,3,1,4895,943,0,1,3217,1,1,1323,58,3,25,3,29,0,8136,0,2,6,0,22,1,3597,5645,631,2952,8710,14,6,15,97,1029,0,118,92,168,128,23,613,13962,0,619,95,9,506,373,0,0,47871,58,1,408,0,9235,0,3,14975,3,5,12,9,0,44,13,445,1,58,1932,0,387,4,40,59,4,381,33,83,2405,24,27,114,2334,25952,8,112,33047,131,2,3,1,4,424,4,0,1373,0,29,2,1,0,20,1444,27,3,1,53,0,0,923,1,4,23,0,3,0,248,18,9,0,0,1,0,152,1,0,0,54,2735,1125,0,627,0,21,312,1359,20,0,764,14,373,54454,13200,5,0,4,1,361,3556,0,41,0,63,1,0,0,59,0,13,0,1,614,39,31,1174,0,0,257,0,0,1,1,0,10,0,2,0,118,0,0,20,3933,49247,4,0,1006,0,0,0,0,0,3259,1,1
"BRB",1,0,0,0,9,1,0,66,59,4,0,0,2,0,0,0,3,0,49,0,0,2,0,42,0,0,0,0,0,1846,24,3,5,3,0,0,0,0,1,0,0,2,4,65,25,7,3,0,7,0,0,1,0,0,0,160,1,0,7,0,42,0,0,2893,0,0,0,1,0,0,0,1,55,0,4,0,364,0,0,1,3,3,0,51,91,0,0,1,12,30,128,1,0,0,0,0,0,0,4,0,0,0,0,0,837,1,0,4,2,2,0,0,0,0,0,5,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,9,5,0,16,0,0,4,0,1,2,43,0,0,8,0,0,0,3,0,1,3,0,0,0,0,0,0,0,3,0,0,0,0,8,2,1,18,0,0,0,0,0,0,0,0,0,0,290,0,1,0,0,0,0,5863,0,301,7,39,0,0,0,0,7,0,0
"BRN",0,0,0,0,151,0,0,0,2216,10,0,0,22,0,0,167,4,11,1,0,0,0,1,128,0,0,0,1,0,1657,56,4,3,305,0,0,0,0,1,0,0,1,0,4,38,12,69,0,14,0,1,2,33,0,0,233,1,0,13,0,54,0,0,2538,0,0,0,0,0,0,0,1,0,0,0,1,0,103,0,1,0,5,728,4251,143,0,0,2,18,76,0,42,78,1,0,0,1,0,55,20,0,0,0,5,0,142,0,5,3,3,7,0,0,0,0,13,0,15,1,0,0,1,0,0,0,0,0,7881,0,2,0,0,0,0,251,29,514,121,7,101,3,0,1659,13,56,0,2,11,0,0,0,40,0,2,22,0,32,0,0,3497,0,0,0,0,0,0,0,0,3,1,27,0,0,0,0,0,1196,16,0,0,0,0,0,4,0,0,0,0,582,0,0,0,0,0,0,0,0,42,0,0
"BTN",0,0,0,0,3702,1,0,0,869,17,0,0,69,0,0,6,6,266,1,0,0,1,1,5,0,0,0,7,0,906,42,0,4,125,0,0,0,0,1,0,0,1,0,3,6,5,84,0,62,2,0,1,1,0,0,83,1,0,14,1,54,0,0,893,0,1,0,0,0,0,0,6,0,0,0,0,0,36,0,1,0,3,9,6773,33,0,0,2,30,161,1,22,46,1,0,0,0,0,42,447,1,1,1,1,0,35,0,0,1,1,4,0,0,1,1,25,0,1,0,3,0,1,3,0,0,10,1,51,0,2,0,0,0,0,58,49,9211,75,386,49,4,0,25,2,6,0,2,8,0,0,0,944,0,1,17,0,246,0,0,172,0,1,0,0,0,6,0,0,0,0,33,0,7,0,0,0,5,1,0,0,0,2,0,2,0,0,7,0,1865,0,0,0,0,2,0,0,0,69,4,0
"BWA",0,0,1802,0,2,0,0,0,1042,24,0,6,43,0,0,0,10,0,5,0,0,0,1,64,0,0,0,0,0,214,83,0,5,271,0,0,392,25,0,0,0,0,0,0,62,157,226,0,43,0,0,1,0,0,0,31,2,1,23,0,90,0,2,2699,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,10,0,8,0,376,112,0,0,1,87,133,0,1,0,0,79,0,0,0,14,0,0,0,0,0,0,87,231,0,1,1,0,0,0,38,0,3,0,29,2,0,1,0,334,0,0,105,204,0,0,484,0,0,38,0,70,55,0,100,0,36,0,0,2,0,13,0,0,31,0,0,0,0,0,1,54,17,2,0,0,0,0,0,0,0,0,246,0,0,1,2,62,46,11,0,0,0,0,0,0,0,0,0,0,7,154,63,0,0,298,3,0,0,0,0,0,0,0,19227,1209,3333
"CAF",0,0,672,0,87,7,0,0,178,43,0,6,1050,1,0,0,3,6,2,0,0,1,58,46,0,0,0,0,0,385,549,7,21,0,4,91315,6368,18672,8,0,1,6,0,2,27,16,296,0,31,105,0,9,47,0,0,600,4,20,32,0,10831,0,57,675,0,1,1,2,0,0,67,252,0,2,1,0,0,1,1,9,1,20,1,0,47,0,0,3,204,688,0,5,10,7,126,0,0,0,16,10,0,0,0,1,0,1,0,2,88,4,0,111,0,11,0,139,0,181,2,0,6,1,41,2,1,3,0,0,0,45,9,1,6,0,87,19,0,14,2,0,4,0,14,1,79,0,0,111,2,1,1,12,2,11,273,11,26,3623,10,4,0,0,1,0,0,11661,13,0,9,15,105,1,0,0,11009,176,0,0,0,0,0,2,22,29,3,21,2,0,436,0,0,0,0,1,0,0,2,517,1,0
